Type,$A_{1}$,$\tau_{1}$,$\gamma_{1}$,$A_{2}$,$\tau_{2}$,$\gamma_{2}$
IXS,0.33004231725361677,0.15288715563567773,2.118983411700794,0.1279475833293484,0.47525003875828137,1.3600701239628241
50 ps,0.349873541940753,0.1305532642875535,1.8724796591694586,0.13354190712612307,0.31505157068534606,1.3599713708220498
100 ps,0.36207208400044955,0.1333377036086858,1.831808033629184,0.12205512277841495,0.34700593212578085,1.2942248941577497
500 ps,0.36086468263681476,0.13196028003580793,1.8636559361408347,0.13540040570998643,0.3062008038479728,1.4181638792873417
1 ns,0.3524408580821894,0.13167957554178097,1.8587476685506226,0.13124834775054767,0.3184271108654145,1.366285823708024
2 ns,0.36025284276730524,0.13290116457007145,1.8268314494144562,0.12392500150354654,0.33492467987709074,1.3412865144743238
128,0.3520979033630286,0.13267645391282346,1.8375596496158704,0.12752312609912456,0.33803279210247045,1.3016327497766325
250,0.36224138713320486,0.13367412735933054,1.827242169568148,0.1263759148451622,0.3314737161180666,1.3409779478873765
512,0.3507092783676505,0.13326074317976447,1.813679855241893,0.1307531185355634,0.3588339602104975,1.2771712380168123
1000,0.33820159006940614,0.13202832489472185,1.834658946208695,0.14407115602174134,0.3402529190174358,1.2653601936907266
